image_path,class_name,orig_class_name,mislabeled
train/cattle/00000.png,cattle,cattle,False
train/dinosaur/00001.png,dinosaur,dinosaur,False
train/apple/00002.png,apple,apple,False
train/boy/00003.png,boy,boy,False
train/aquarium_fish/00004.png,aquarium_fish,aquarium_fish,False
train/telephone/00005.png,telephone,telephone,False
train/train/00006.png,train,train,False
train/cup/00007.png,cup,cup,False
train/cloud/00008.png,cloud,cloud,False
train/elephant/00009.png,elephant,elephant,False
train/keyboard/00010.png,keyboard,keyboard,False
train/willow_tree/00011.png,willow_tree,willow_tree,False
train/sunflower/00012.png,sunflower,sunflower,False
train/castle/00013.png,castle,castle,False
train/sea/00014.png,sea,sea,False
train/keyboard/00015.png,keyboard,keyboard,False
train/bicycle/00016.png,bicycle,bicycle,False
train/wolf/00017.png,wolf,wolf,False
train/squirrel/00018.png,squirrel,squirrel,False
train/sea/00019.png,sea,sea,False
train/shrew/00020.png,shrew,shrew,False
train/pine_tree/00021.png,pine_tree,pine_tree,False
train/rose/00022.png,rose,rose,False
train/television/00023.png,television,television,False
train/pine_tree/00024.png,pine_tree,pine_tree,False
train/table/00025.png,table,table,False
train/possum/00026.png,possum,possum,False
train/oak_tree/00027.png,oak_tree,oak_tree,False
train/leopard/00028.png,leopard,leopard,False
train/possum/00029.png,possum,possum,False
train/bicycle/00030.png,motorcycle,bicycle,True
train/castle/00031.png,castle,castle,False
train/maple_tree/00032.png,maple_tree,maple_tree,False
train/rabbit/00033.png,rabbit,rabbit,False
train/chimpanzee/00034.png,chimpanzee,chimpanzee,False
train/clock/00035.png,clock,clock,False
train/streetcar/00036.png,streetcar,streetcar,False
train/boy/00037.png,boy,boy,False
train/cockroach/00038.png,cockroach,cockroach,False
train/table/00039.png,table,table,False
train/snake/00040.png,snake,snake,False
train/lobster/00041.png,lobster,lobster,False
train/mountain/00042.png,mountain,mountain,False
train/wolf/00043.png,wolf,wolf,False
train/palm_tree/00044.png,palm_tree,palm_tree,False
train/skyscraper/00045.png,skyscraper,skyscraper,False
train/boy/00046.png,boy,boy,False
train/train/00047.png,train,train,False
train/tractor/00048.png,tractor,tractor,False
train/snake/00049.png,worm,snake,True
train/shark/00050.png,shark,shark,False
train/butterfly/00051.png,butterfly,butterfly,False
train/television/00052.png,television,television,False
train/bottle/00053.png,bottle,bottle,False
train/sea/00054.png,sea,sea,False
train/bee/00055.png,bee,bee,False
train/maple_tree/00056.png,maple_tree,maple_tree,False
train/chair/00057.png,couch,chair,True
train/woman/00058.png,woman,woman,False
train/maple_tree/00059.png,maple_tree,maple_tree,False
train/hamster/00060.png,shrew,hamster,True
train/otter/00061.png,otter,otter,False
train/seal/00062.png,seal,seal,False
train/lion/00063.png,lion,lion,False
train/mushroom/00064.png,mushroom,mushroom,False
train/girl/00065.png,girl,girl,False
train/sweet_pepper/00066.png,sweet_pepper,sweet_pepper,False
train/forest/00067.png,forest,forest,False
train/crocodile/00068.png,lizard,crocodile,True
train/orange/00069.png,orange,orange,False
train/tulip/00070.png,tulip,tulip,False
